@@,name,position
->,Steven Guilbeault,Minister of the Environment->Minister of Environment and Climate Change
->,Pablo Rodriguez,Leader of the Government in the House of Commons->Minister of Canadian Heritage and Quebec Lieutenant
->,Mélanie Joly->Ginette Petitpas Taylor,Minister of Official Languages
->,Mary Ng,"Minister of Small Business, Export Promotion and International Trade->Minister of International Trade, Export Promotion, Small Business and Economic Development"
->,Marco E. L. Mendicino,"Minister of Immigration, Refugees and Citizenship->Minister of Public Safety"
->,Marc Miller,Minister of Indigenous Services->Minister of Crown-Indigenous Relations
->,Marc Garneau->Mélanie Joly,Minister of Foreign Affairs
->,Karina Gould,"Minister of International Development->Minister of Families, Children and Social Development"
->,Joyce Murray,"Minister of Digital Government->Minister of Fisheries, Oceans and the Canadian Coast Guard"
->,Jean-Yves Duclos,President of the Treasury Board->Minister of Health
->,Filomena Tassi,Minister of Labour->Minister of Public Services and Procurement
->,Dominic LeBlanc->Bill Blair,President of the Queen’s Privy Council for Canada
->,Deb Schulte->Kamal Khera,Minister of Seniors
->,Carolyn Bennett,Minister of Crown-Indigenous Relations->Minister of Mental Health and Addictions and Associate Minister of Health
->,Ahmed Hussen,"Minister of Families, Children and Social Development->Minister of Housing and Diversity and Inclusion"
---,Seamus O'Regan,Minister of Labour
---,Patty Hajdu,Minister of Health
---,Mélanie Joly,Minister of Economic Development
---,Mona Fortier,Minister of Middle Class Prosperity
---,Mona Fortier,Associate Minister of Finance
---,Maryam Monsef,Minister for Rural Economic Development
---,Maryam Monsef,Minister for Women and Gender Equality
---,Jim Carr,Minister without Portfolio
---,Jim Carr,Special Representative for the Prairies
---,Harjit Sajjan,Minister of National Defence
---,Dominic LeBlanc,Minister of Intergovernmental Affairs
---,Dan Vandal,Minister of Northern Affairs
---,Catherine McKenna,Minister of Infrastructure and Communities
---,Bill Blair,Minister of Public Safety and Emergency Preparedness
---,Bernadette Jordan,"Minister of Fisheries, Oceans and the Canadian Coast Guard"
---,Bardish Chagger,Minister of Diversity and Inclusion and Youth
+++,Sean Fraser,"Minister of Immigration, Refugees and Citizenship"
+++,Seamus O’Regan Jr.,Minister of Labour
+++,Randy Boissonnault,Minister of Tourism and Associate Minister of Finance
+++,Patty Hajdu,Minister responsible for the Federal Economic Development Agency for Northern Ontario
+++,Patty Hajdu,Minister of Indigenous Services
+++,Pascale St-Onge,Minister of Sport
+++,Pascale St-Onge,Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec
+++,Mona Fortier,President of the Treasury Board
+++,Mark Holland,Leader of the Government in the House of Commons
+++,Marci Ien,Minister for Women and Gender Equality and Youth
+++,Helena Jaczek,Minister responsible for the Federal Economic Development Agency for Southern Ontario
+++,Harjit S. Sajjan,Minister of International Development
+++,Harjit S. Sajjan,Minister responsible for the Pacific Economic Development Agency of Canada
+++,Gudie Hutchings,Minister of Rural Economic Development
+++,Ginette Petitpas Taylor,Minister responsible for the Atlantic Canada Opportunities Agency
+++,Dominic LeBlanc,"Minister of Intergovernmental Affairs, Infrastructure and Communities"
+++,Dan Vandal,Minister responsible for the Canadian Northern Economic Development Agency
+++,Dan Vandal,"Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada"
+++,Bill Blair,Minister of Emergency Preparedness
